hotel_name,hotel_adress,raiting_stars,url
DoubleTree by Hilton Dubai M Square Hotel & Residences,"Sheikh Khalifa Bin Zayed Street, Al Mankhool, PO Box 119646, Bur Dubai, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/doubletree-by-hilton-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=258&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538147&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Pearl Swiss Hotel,"Al Rigga Road, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/pearl-swiss.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=265&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538147&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Courtyard by Marriott Culture Village, Dubai","Jaddaf Waterfront, Al Jaddaf, Bur Dubai, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/courtyard-by-marriott-culture-village-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=267&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538147&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Pearl Swiss Hotel,"Al Rigga Road, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/pearl-swiss.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=276&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Lotus Grand Hotel,"Al Rigga Road, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/lotus-grand-hotel.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=280&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Byblos Hotel,"Tecom, Barsha Heights (Tecom) , Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/byblos.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=285&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&map_fdco=1&from=searchresults#hotelTmpl
Asiana Grand Hotel,"Al Muraqqabat Road, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/asiana-grand.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=288&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&map_fdco=1&from=searchresults#hotelTmpl
Grand Cosmopolitan Hotel,"Al Barsha, Al Barsha, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/grand-cosmopolitan-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=291&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Ramada by Wyndham Dubai Deira,"155 Salahudin Road Deira, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/ramada-deira-llc.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=292&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&map_fdco=1&from=searchresults#hotelTmpl
Manzil Downtown by Vida,"Sheikh Mohammed Bin Rashid Boulevard, Downtown Dubai PO Box 114822, Downtown Dubai, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/al-manzil.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=295&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Lapita, Dubai Parks and Resorts, Autograph Collection","Dubai Parks & Resorts, Sheikh Zayed Road, Dubai World Central, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/lapita-dubai-parks-and-resorts-autograph-collection.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=297&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538153&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Lapita, Dubai Parks and Resorts, Autograph Collection","Dubai Parks & Resorts, Sheikh Zayed Road, Dubai World Central, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/lapita-dubai-parks-and-resorts-autograph-collection.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=302&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538159&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Address Downtown,"Sheikh Mohamed Bin Rashid Boulevard, Downtown , PO Box 123234, Downtown Dubai, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/the-address-downtown-burj-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=309&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538159&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Rose Park Hotel Al Barsha,"Opp. Mashreq Metro Station,Sheikh Zayed Road, Al Barsha, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/rose-park-al-barsha.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=311&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538159&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
